id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
143,el,Theseus and the Minotaur,Ο Θησέας και ο Μινώταυρος,original,---,---,Plutarch,Alexandros Rizos Rangkavis,myth,c.~105–115,1864,Typois Dionysiou Koromila,yes,---,1.44
144,el,Theseus and the Minotaur,Ο Θησέας και ο Μινώταυρος,adapted,children,4,Plutarch,Vasiliki Nika,---,c.~105–115,2011,Ekdoseis Pataki,yes,yes,0.80
145,el,Theseus and the Minotaur,Θησέας,adapted,children,3,Plutarch,Katerina Mouriki; Ioanna Kyritsi-Tzioti,---,c.~105–115,2016,Ekdoseis Diaplasi,yes,no,0.64
146,el,Theseus and the Minotaur,Ο Θησέας και ο Μινώταυρος,adapted,children,6,Plutarch,Vito Angelopoulou,---,c.~105–115,2000,Ekdoseis Ankyra,yes,yes,0.57
147,el,The Ugly Duckling,Το Ασχημόπαπο,original,---,---,Hans Christian Andersen,Ioannis A. Papadakis,fairy tale,1843,2020,eBooks4Greeks,yes,---,2.61
148,el,The Ugly Duckling,Το Ασχημόπαπο,adapted,children,6,Hans Christian Andersen,Anta Tasopoulou,---,1843,2005,Ekdoseis Savvalas,yes,no,1.05
149,el,The Ugly Duckling,Το Ασχημόπαπο,adapted,children,---,Hans Christian Andersen,Anna Kontoleon,---,1843,2002,Armadillo Books,yes,yes,0.94
150,es,The Adventures of Pinocchio,Las aventuras de Pinocho,original,---,---,Carlo Collodi,Matías Godoy,novel,1883,2019,Biblioteca Fiesta del Libro y la Cultura de Medellín,yes,---,81.51
151,es,The Adventures of Pinocchio,Las aventuras de Pinocho,original,---,---,Carlo Collodi,Freddy Ordóñez,novel,1883,2012,Libro al Viento,yes,---,39.81
152,es,The Adventures of Pinocchio,Las aventuras de Pinocho,adapted,children,---,Carlo Collodi,Claude Morand,---,1883,---,Gaviota,yes,yes,0.46
153,es,The Adventures of Pinocchio,Pinocho,adapted,children,5,Carlo Collodi,Roberto Piumini,---,1883,2011,Ediciones Laberinto,yes,yes,1.34
154,es,The Adventures of Tom Sawyer,Las aventuras de Tom Sawyer,original,---,---,Mark Twain,J. Torroba,novel,1876,2003,Biblioteca Virtual Universal,yes,---,71.61
155,es,The Adventures of Tom Sawyer,Las aventuras de Tom Sawyer,adapted,children,---,Mark Twain,B. Palacios,---,1876,2010,Dirección General de Bibliotecas,yes,no,16.16
156,es,The Adventures of Tom Sawyer,Las aventuras de Tom Sawyer,adapted,children,---,Mark Twain,L. I. Barrena,---,1876,2007,Anaya: Clásicos a medida,yes,no,24.69
157,es,The Adventures of Tom Sawyer,Las aventuras de Tom Sawyer,adapted,LD,---,Mark Twain,M. Àngels Rubio,---,1876,2016,Almadraba Editorial: Kalafate – Lectura fácil,yes,yes,6.50
